id;is_actif;anne;mois;montant_plafond;montant_plafond_plus;nb_heure_plafond;taux_cotisations;date_ouverture;date_fermeture
1;false;79694;98076;18721;57707;10361;75097;2021-12-08;2021-12-08
2;true;57841;79712;19092;69899;55265;29468;2021-12-08;2021-12-08
3;true;95883;53353;41728;90597;49579;33846;2021-12-08;2021-12-08
4;false;22153;66635;25092;46089;12960;8508;2021-12-08;2021-12-08
5;true;94817;1983;69831;19451;90293;28282;2021-12-08;2021-12-08
6;true;70619;83180;97472;81448;40681;61227;2021-12-08;2021-12-08
7;true;39435;10167;33362;13903;12835;16100;2021-12-08;2021-12-08
8;true;62092;96975;79082;46920;52038;8379;2021-12-08;2021-12-08
9;false;83320;86760;92360;14550;60882;9397;2021-12-08;2021-12-08
10;false;28556;95421;41001;53609;24652;66716;2021-12-08;2021-12-08
