id;is_actif;anne;montant_plafond_defaut;montant_plafond_handicape;montant_plafond_defaut_plus;montant_plafond_handicape_plus;taux_salaire;date_ouverture;date_fermeture
1;true;81277;54773;80111;1224;6099;98418;2021-12-08;2021-12-08
2;false;32483;64734;49626;71237;75829;86823;2021-12-08;2021-12-08
3;false;75619;20364;91955;5321;97477;4402;2021-12-08;2021-12-08
4;true;67537;42101;22468;68927;8820;17368;2021-12-08;2021-12-08
5;false;43317;6208;29819;19141;49770;97957;2021-12-08;2021-12-08
6;true;47501;67162;45322;76537;20503;9241;2021-12-08;2021-12-08
7;true;48074;88442;16226;34565;93225;23095;2021-12-08;2021-12-08
8;false;73771;9930;47088;72049;59263;90190;2021-12-08;2021-12-08
9;false;20503;40697;43051;28411;75925;53320;2021-12-08;2021-12-08
10;true;99369;98527;46823;85411;24668;32113;2021-12-08;2021-12-08
