id;is_actif;anne;mois;montant_plafond;montant_plafond_plus;nb_heure_plafond;taux_cotisations;date_ouverture;date_fermeture
1;false;87344;18776;38267;26680;27751;79840;2021-12-08;2021-12-08
2;false;60487;50863;75461;3079;8554;29410;2021-12-08;2021-12-08
3;false;45743;97443;96194;72864;5789;17178;2021-12-08;2021-12-08
4;false;25112;7870;13017;15051;84838;2754;2021-12-08;2021-12-08
5;true;28581;90034;92100;69188;98811;1976;2021-12-08;2021-12-08
6;true;79777;75740;71586;21159;75712;61647;2021-12-08;2021-12-08
7;false;35278;49403;65811;29438;88914;30180;2021-12-08;2021-12-08
8;true;58668;33115;38589;39935;2367;84650;2021-12-08;2021-12-08
9;true;96539;27365;45871;40052;56682;22650;2021-12-08;2021-12-08
10;true;43263;23451;31988;93354;33145;66516;2021-12-08;2021-12-08
