id;is_actif;anne;mois;montant_plafond;montant_plafond_plus;nb_heure_plafond;taux_cotisations;date_ouverture;date_fermeture
1;false;17595;34565;56023;69819;19452;50574;2021-12-08;2021-12-08
2;false;92470;26707;16289;93868;64633;43576;2021-12-08;2021-12-08
3;true;57877;11332;50012;42025;25258;21656;2021-12-08;2021-12-08
4;true;39730;75035;44839;14272;93035;80351;2021-12-08;2021-12-08
5;false;16687;12935;68600;83715;39833;31357;2021-12-08;2021-12-08
6;true;19114;48836;92139;47075;5989;64959;2021-12-08;2021-12-08
7;false;20545;98603;15664;11811;63290;97453;2021-12-08;2021-12-08
8;false;24341;51181;11780;23023;36205;64596;2021-12-08;2021-12-08
9;false;3006;85061;85015;69866;1137;55751;2021-12-08;2021-12-08
10;true;2563;87312;60037;75111;27683;75549;2021-12-08;2021-12-08
