id;code;libelle;description
1;deliverables Music executive;Product monitor;International Arkansas
2;Minnesota;Quality-focused Cambridgeshire Malagasy;Bolivar integrated cyan
3;collaboration Avon;turn-key;Minnesota
4;Sausages;Colorado;lime non-volatile
5;toolset Qatar;Roads channels;Cotton
6;wireless;violet Ergonomic;Baby bandwidth
7;Corporate;Crossroad deposit;bandwidth Distributed Bermuda
8;withdrawal black;cross-platform;Wooden
9;payment withdrawal withdrawal;olive;Springs bottom-line
10;Tools deposit;Plains Response Extensions;white
