id;code;libelle;description
1;Computers SSL encompassing;Cayman Cheese;Cambridgeshire experiences support
2;attitude-oriented Hat;copying;Pants Ergonomic static
3;Roads Concrete;aggregate Shirt;Ergonomic utilize
4;aggregate;Chicken loyalty;copying Steel
5;Tuna invoice;Games EXE Soft;paradigms Human
6;Way;Alaska Branding;exuding
7;back-end;Bahrain Avon;Utah SCSI Movies
8;Buckinghamshire;alliance;calculate applications back-end
9;Brand AGP SAS;payment Bolivia Architect;Sleek Frozen
10;Switchable Networked Iceland;tan Investor orchestrate;Director Internal
