id;date;is_actif;is_dernier;annee;mois;conso_montant_apa_cotisations;conso_montant_apa_salaire;solde_montant_apa;conso_heure_apa;solde_heure_apa
1;2021-12-07T14:57:10;false;false;19639;73732;25922;91776;29880;98700;86358
2;2021-12-07T21:01:19;false;true;66743;88603;88235;92909;15817;79451;88446
3;2021-12-07T11:56:44;false;false;39241;94053;33791;6741;73985;96731;1080
4;2021-12-07T12:09:58;true;true;48088;58008;93965;35215;73872;83714;60072
5;2021-12-07T19:44:16;false;true;9349;44043;61235;33017;45734;17575;10424
6;2021-12-07T04:06:18;false;true;11803;36343;68365;18051;12224;54661;59115
7;2021-12-07T16:27:06;true;true;3945;49499;20573;32121;75095;69619;75019
8;2021-12-07T19:52:05;false;false;81791;19624;25625;15841;37043;18532;7974
9;2021-12-08T01:16:08;true;false;41942;21364;15224;81164;7373;90313;29485
10;2021-12-07T21:42:37;true;true;18826;53050;64149;89048;65814;5781;95377
