id;date;is_actif;is_dernier;annee;conso_montant_ci;conso_ci_rec;solde_montant_ci;solde_montant_ci_rec
1;2021-12-07T02:38:12;true;true;54687;3599;72335;71359;27835
2;2021-12-07T14:27:44;true;false;6961;75280;74439;74672;1374
3;2021-12-08T00:37:07;false;true;44904;91101;73100;8227;8653
4;2021-12-08T01:31:40;false;false;66166;59082;50103;94125;30608
5;2021-12-07T13:55:49;false;false;78650;88256;69337;35304;45973
6;2021-12-07T09:50:15;false;true;12082;14302;14189;48414;54799
7;2021-12-07T03:56:24;true;false;39783;55493;84986;51024;81684
8;2021-12-07T22:16:27;false;false;48124;95049;78537;21878;21239
9;2021-12-07T08:44:34;false;false;56855;56072;87727;54768;91428
10;2021-12-07T20:30:16;false;true;78352;75035;56240;35819;91981
