id;date;is_actif;is_dernier;annee;mois;conso_montant_pch_cotisations;conso_montant_pch_salaire;solde_montant_pch;conso_heure_pch;solde_heure_pch
1;2021-12-07T03:56:13;false;false;59969;7677;95045;6529;64482;71844;25686
2;2021-12-07T16:31:27;true;true;2134;32597;41728;34488;6628;68784;93576
3;2021-12-07T14:17:55;false;false;31667;76029;46782;60674;65982;10219;93912
4;2021-12-08T00:51:29;false;false;9407;8149;34918;89482;17236;25819;59723
5;2021-12-07T06:05:33;false;false;64012;82933;19701;36385;47262;23084;6751
6;2021-12-07T05:26:50;false;true;90515;30213;55713;82072;56211;65523;97021
7;2021-12-07T17:32:31;false;false;47316;36576;92004;70335;79517;20741;90492
8;2021-12-08T01:26:00;true;true;6610;33149;81867;82799;97138;68884;46282
9;2021-12-07T14:45:43;false;true;56297;52205;97336;86866;26366;3063;90000
10;2021-12-07T13:44:25;true;false;19501;32557;72368;44115;77624;49289;37847
