id;date;is_actif;is_dernier;annee;mois;conso_montant_pch_e_cotisations;conso_montant_pch_e_salaire;solde_montant_pch_e;conso_heure_pch_e;solde_heure_pch_e
1;2021-12-07T04:37:29;false;true;57835;19057;39328;64567;58630;7672;79891
2;2021-12-07T21:43:56;false;true;68929;83750;47824;35908;43279;37323;77197
3;2021-12-07T02:03:24;false;false;2537;24265;3173;40189;55474;84374;5470
4;2021-12-07T14:06:33;true;false;62070;62667;87874;66967;92992;39522;62365
5;2021-12-07T21:40:59;true;false;82112;1628;99098;24661;98524;66826;31717
6;2021-12-07T04:15:05;false;true;85726;89115;32367;57870;53462;42774;99335
7;2021-12-07T21:21:18;true;false;45992;95837;15132;15034;40263;4715;24991
8;2021-12-07T23:55:40;true;false;66375;4736;72382;54308;86371;47922;93126
9;2021-12-07T12:40:47;false;true;69667;75571;60092;99590;46046;66298;93015
10;2021-12-07T06:59:09;false;true;88892;98732;94721;88007;3592;43330;20667
