id;is_actif;date_mensuelle_debut_validite;anne;mois;montant_plafond_salaire;montant_plafond_cotisations;montant_plafond_salaire_plus;montant_plafond_cotisations_plus;nb_heure_salaire_plafond;taux_salaire;taux_cotisations
1;false;2021-12-07;36337;47450;4129;46859;39794;83282;42231;22651;89754
2;true;2021-12-07;82805;40549;72215;99199;60374;38610;29913;14336;72059
3;true;2021-12-07;21472;63811;59137;62939;69261;970;36534;20045;56099
4;true;2021-12-07;37671;17369;88050;39657;98866;65978;53201;5498;42078
5;true;2021-12-08;15827;28525;4226;67078;27027;70275;93570;10009;67807
6;true;2021-12-07;96430;86197;55060;45623;77263;8582;32754;69011;95843
7;true;2021-12-07;80220;63732;30942;92315;68634;11470;73724;12257;78112
8;false;2021-12-07;36720;88699;32254;75329;22862;95957;30161;28714;60825
9;false;2021-12-07;88058;61045;31151;89874;35366;33297;4604;38405;54241
10;false;2021-12-07;63217;34336;47853;80229;84913;15365;64359;17928;29844
