id;is_actif;date_annuelle_debut_validite;anne;montant_plafond_defaut;montant_plafond_handicape;montant_plafond_defaut_plus;montant_plafond_handicape_plus;taux_salaire
1;true;2021-12-07;7069;12017;15875;49948;20507;37617
2;false;2021-12-07;29060;31030;77959;5768;63826;63567
3;true;2021-12-07;21972;4919;69993;27856;10657;49020
4;true;2021-12-08;15407;74220;56624;19822;55158;71919
5;true;2021-12-07;9109;11461;53141;18940;24402;56410
6;false;2021-12-07;56058;41993;55477;92869;35776;91957
7;true;2021-12-07;31069;4399;91597;11847;46228;71778
8;true;2021-12-07;59841;84144;37940;94408;33146;77305
9;false;2021-12-07;30323;40500;9082;50756;86037;68739
10;true;2021-12-07;14334;27650;28433;69420;91411;23116
