id;anne;mois;nb_heure_seuil_plafond;taux_salaire;taux_cotisations;is_actif;date_created;is_updated;date_modified
1;19737;5183;49345;17607;98521;false;2021-12-08T21:37:16;false;2021-12-08T01:44:16
2;97786;13408;29080;64051;33013;false;2021-12-08T08:56:11;true;2021-12-08T09:14:24
3;97881;38189;17710;30322;75888;false;2021-12-08T20:48:43;true;2021-12-08T03:46:40
4;56003;94982;16671;67302;33431;false;2021-12-08T17:43:11;true;2021-12-08T02:06:17
5;45;88961;27533;96614;27929;true;2021-12-08T03:29:11;true;2021-12-08T11:52:15
6;71175;10064;5767;27123;81323;true;2021-12-08T05:44:50;true;2021-12-08T07:25:54
7;59588;92249;91857;65148;23186;true;2021-12-08T20:37:16;true;2021-12-08T04:53:54
8;16539;64499;19109;56599;68639;false;2021-12-08T21:39:06;false;2021-12-08T00:59:26
9;71099;83093;39038;44845;2857;true;2021-12-08T18:10:42;true;2021-12-08T12:16:20
10;41480;94132;59043;40356;20080;true;2021-12-08T12:37:23;false;2021-12-08T03:38:05
