id;anne;mois;nb_heure_seuil_plafond;taux_salaire;taux_cotisations;is_actif;date_created;is_updated;date_modified
1;39988;1461;10325;28600;75565;true;2021-12-08T11:16:31;false;2021-12-08T20:03:48
2;48510;40217;51343;62478;33863;true;2021-12-08T23:00:25;false;2021-12-08T19:42:39
3;74631;48661;87482;54170;85187;true;2021-12-08T03:27:29;false;2021-12-08T23:34:52
4;80868;27904;3676;34287;5767;false;2021-12-08T06:58:34;true;2021-12-08T21:14:38
5;22485;25555;88767;50415;3026;true;2021-12-08T02:11:44;false;2021-12-08T03:51:37
6;89383;44768;78573;29145;42860;true;2021-12-08T10:28:48;false;2021-12-08T08:18:49
7;39790;7118;4960;37727;2304;true;2021-12-08T16:55:01;false;2021-12-08T18:29:25
8;11667;47789;68150;903;59504;true;2021-12-08T04:29:20;false;2021-12-08T15:55:16
9;36726;9710;73820;82224;79699;false;2021-12-08T06:38:08;false;2021-12-08T18:49:04
10;59171;66076;61543;20732;33083;false;2021-12-08T07:40:26;true;2021-12-08T21:58:20
