id;is_actif;date_mensuelle_debut_validite;anne;mois;montant_plafond_salaire;montant_plafond_cotisations;montant_plafond_salaire_plus;montant_plafond_cotisations_plus;nb_heure_salaire_plafond;taux_salaire;taux_cotisations
1;false;2021-12-07;86109;80010;11245;95035;36440;81705;48860;19483;77192
2;false;2021-12-07;61496;42579;41241;24685;44389;16601;1945;65294;34131
3;false;2021-12-07;12246;31638;47140;64040;11841;48196;89329;22574;76726
4;true;2021-12-07;57271;87878;87220;86068;77231;97713;40107;52594;23346
5;false;2021-12-07;8211;21265;10962;98997;12486;91368;97649;37279;18336
6;false;2021-12-07;2824;51680;96204;42039;42865;84776;64149;22210;59288
7;true;2021-12-08;60559;76030;52009;51134;49453;77222;44251;68612;59133
8;false;2021-12-07;63466;11554;50533;7735;89585;11281;80036;48466;41819
9;true;2021-12-07;4134;1361;68814;34260;24259;52421;75800;21353;71748
10;false;2021-12-07;78955;69199;8615;22062;48151;5806;32694;95607;73119
