id;is_actif;date_mensuelle_debut_validite;anne;mois;montant_plafond_salaire;montant_plafond_cotisations;montant_plafond_salaire_plus;montant_plafond_cotisations_plus;nb_heure_salaire_plafond;taux_salaire;taux_cotisations
1;false;2021-12-07;72671;33948;49508;70798;66870;52272;70161;60130;26665
2;true;2021-12-07;74;57181;74842;33187;42368;7824;18775;24554;64202
3;false;2021-12-07;5484;81030;83667;17975;14181;4928;28651;18602;11254
4;false;2021-12-07;51840;60467;70320;54813;48236;29851;87165;12560;2690
5;true;2021-12-07;40230;37826;92309;9092;6295;58154;7951;79225;91895
6;false;2021-12-07;55155;81794;90995;80508;58875;44754;18735;25836;26968
7;true;2021-12-07;93575;18994;34134;4520;46648;69651;91725;34400;50252
8;true;2021-12-07;47331;80748;47609;77440;97882;45979;57617;75812;89241
9;false;2021-12-07;66685;28761;65514;56495;73846;42819;84317;85450;66151
10;false;2021-12-07;71402;76220;79092;79068;2093;99513;75175;68698;64873
