id;nom;localisation;is_actif;date_inscription;anne_lancement;mois_lancement;recup_heure_actif;date_resiliation;derniere_annee;dernier_mois
1;back;auxiliary 24/7;true;2021-12-07;28019;77295;true;2021-12-07;786;77418
2;Granite Branding China;Crest ADP rich;true;2021-12-08;98933;18625;true;2021-12-07;48729;32087
3;Identity orange;card;false;2021-12-07;89368;7834;false;2021-12-07;36190;73607
4;yellow Digitized B2C;matrix;false;2021-12-07;37670;52148;false;2021-12-07;59157;9
5;Georgia Home visionary;Card Refined Producer;true;2021-12-07;13;32643;true;2021-12-07;71613;62695
6;bandwidth matrix navigating;Buckinghamshire Monaco;false;2021-12-07;41232;24233;true;2021-12-07;5562;78880
7;Games;Borders;false;2021-12-07;1621;36132;true;2021-12-08;55695;24365
8;Sleek Bedfordshire;groupware;false;2021-12-07;21188;15479;false;2021-12-07;4613;98620
9;Franc invoice Granite;De-engineered withdrawal pink;true;2021-12-07;26675;94528;true;2021-12-07;5207;33982
10;Intranet Sleek Strategist;Futuna Cotton interface;true;2021-12-07;35284;25114;true;2021-12-07;23901;22793
