id;anne;mois;age_enfant_revolu_sur_periode;montant_plafond_salaire;is_actif;date_created;is_updated;date_modified
1;95674;81276;38185;42110;false;2021-12-08T01:17:02;true;2021-12-08T01:37:53
2;75135;77823;9566;21518;true;2021-12-08T13:08:25;true;2021-12-08T10:30:28
3;76693;53757;75036;48280;false;2021-12-08T02:05:23;true;2021-12-08T01:25:37
4;11113;98935;26921;73367;true;2021-12-08T14:23:52;true;2021-12-08T20:18:39
5;15877;71929;9001;63236;true;2021-12-08T12:44:19;false;2021-12-07T23:48:30
6;22722;59553;27222;55844;false;2021-12-08T15:57:13;true;2021-12-08T15:21:36
7;52491;30644;98588;76793;false;2021-12-08T21:37:01;false;2021-12-08T14:30:25
8;90259;39629;87712;68395;false;2021-12-08T17:03:52;false;2021-12-08T11:56:05
9;34802;6288;81297;85989;false;2021-12-08T05:41:22;false;2021-12-08T14:20:41
10;56856;99611;50082;54591;false;2021-12-08T01:25:36;false;2021-12-08T03:23:08
