id;anne;mois;age_enfant_revolu_sur_periode;montant_plafond_salaire;is_actif;date_created;is_updated;date_modified
1;32478;10886;68292;9019;false;2021-12-08T07:38:58;false;2021-12-08T11:11:48
2;85996;64019;92965;2544;true;2021-12-08T15:47:52;true;2021-12-08T14:59:59
3;43348;39939;42663;15318;false;2021-12-08T08:41:22;false;2021-12-08T13:13:35
4;55848;87697;71771;48385;true;2021-12-08T20:18:17;true;2021-12-08T07:13:35
5;12335;34412;97477;89170;false;2021-12-08T14:13:30;false;2021-12-08T17:03:20
6;38381;31585;86194;18542;true;2021-12-08T07:50:46;true;2021-12-08T06:04:29
7;11452;86569;61844;29328;false;2021-12-08T16:04:32;false;2021-12-08T22:55:08
8;5650;94360;80574;7459;false;2021-12-08T03:37:08;true;2021-12-08T00:03:21
9;65936;70015;78387;1574;true;2021-12-08T20:51:11;true;2021-12-08T23:34:05
10;33464;13908;32899;8935;false;2021-12-08T17:17:13;false;2021-12-08T05:54:20
